App Name,Usage Time (mins),Topic Keywords,Engagement Level,Device,Time of Day,Previous Question Answered,Suggested Question
Facebook,55,Cybersecurity,High,Desktop,Afternoon,No,What is your favorite cybersecurity framework?
TikTok,48,Cybersecurity,Low,Smartphone,Afternoon,Yes,Have you implemented encryption in your projects?
YouTube,52,Data Science,High,Desktop,Evening,No,How do you deal with missing data?
Twitter,20,Machine Learning,Medium,Smartphone,Night,No,What is your preferred ML algorithm?
LinkedIn,36,Data Science,Medium,Tablet,Evening,No,What is your experience with Python in data analysis?
Instagram,38,Machine Learning,Low,Desktop,Evening,No,How do you handle overfitting in ML?
Twitter,34,Cybersecurity,High,Tablet,Afternoon,No,What tools do you recommend for threat detection?
Facebook,28,Cybersecurity,Medium,Smartphone,Evening,Yes,Have you implemented encryption in your projects?
Instagram,11,Data Science,Low,Desktop,Evening,Yes,What is your experience with Python in data analysis?
Facebook,16,Machine Learning,Medium,Desktop,Afternoon,Yes,What is your preferred ML algorithm?
YouTube,60,Cybersecurity,High,Smartphone,Afternoon,No,What is your favorite cybersecurity framework?
Twitter,57,Cybersecurity,High,Smartphone,Night,No,What is your favorite cybersecurity framework?
LinkedIn,45,Machine Learning,Medium,Desktop,Afternoon,No,Can you share a recent ML project you worked on?
YouTube,41,Machine Learning,High,Smartphone,Afternoon,Yes,Have you explored reinforcement learning?
Instagram,42,Machine Learning,Low,Desktop,Morning,Yes,Can you share a recent ML project you worked on?
Twitter,54,Data Science,Low,Desktop,Evening,Yes,Which data visualization tool do you use?
YouTube,51,Cybersecurity,High,Desktop,Afternoon,No,How do you secure APIs in applications?
Twitter,28,Data Science,Low,Smartphone,Evening,No,Which data visualization tool do you use?
YouTube,24,Data Science,Medium,Tablet,Afternoon,Yes,How do you clean messy datasets?
Instagram,50,Machine Learning,Low,Desktop,Night,Yes,What tools do you use for ML development?
YouTube,48,Cybersecurity,Medium,Tablet,Afternoon,Yes,What is your favorite cybersecurity framework?
Twitter,26,Machine Learning,Low,Tablet,Afternoon,Yes,Have you explored reinforcement learning?
Twitter,23,Cybersecurity,High,Tablet,Night,No,What tools do you recommend for threat detection?
TikTok,49,Machine Learning,Medium,Desktop,Night,Yes,How do you handle overfitting in ML?
YouTube,42,Data Science,High,Tablet,Morning,Yes,Which data visualization tool do you use?
Twitter,27,Machine Learning,Low,Tablet,Night,Yes,What is your preferred ML algorithm?
LinkedIn,30,Machine Learning,Medium,Tablet,Afternoon,No,How do you handle overfitting in ML?
Facebook,10,Cybersecurity,Low,Smartphone,Evening,Yes,How do you secure APIs in applications?
Twitter,56,Data Science,High,Tablet,Afternoon,Yes,What is your experience with Python in data analysis?
Twitter,16,Data Science,High,Smartphone,Evening,No,What statistical methods do you prefer in Data Science?
TikTok,33,Data Science,High,Tablet,Morning,Yes,How do you deal with missing data?
Instagram,53,Cybersecurity,Low,Tablet,Night,Yes,What is your favorite cybersecurity framework?
TikTok,19,Data Science,High,Smartphone,Afternoon,No,How do you clean messy datasets?
Twitter,53,Machine Learning,High,Desktop,Evening,Yes,How do you handle overfitting in ML?
LinkedIn,34,Cybersecurity,Medium,Tablet,Evening,No,Have you implemented encryption in your projects?
LinkedIn,10,Machine Learning,Low,Smartphone,Afternoon,Yes,Have you explored reinforcement learning?
TikTok,25,Cybersecurity,Low,Desktop,Night,Yes,What is your favorite cybersecurity framework?
LinkedIn,21,Machine Learning,Medium,Smartphone,Morning,No,Have you explored reinforcement learning?
Facebook,27,Cybersecurity,Medium,Smartphone,Morning,No,What tools do you recommend for threat detection?
Facebook,14,Cybersecurity,Low,Tablet,Morning,Yes,How do you prevent phishing attacks?
TikTok,25,Machine Learning,Medium,Tablet,Morning,Yes,Have you explored reinforcement learning?
LinkedIn,37,Data Science,Low,Smartphone,Afternoon,No,How do you deal with missing data?
Instagram,24,Machine Learning,High,Smartphone,Afternoon,Yes,What is your preferred ML algorithm?
Facebook,17,Machine Learning,Low,Desktop,Night,No,Have you explored reinforcement learning?
YouTube,58,Machine Learning,Low,Tablet,Morning,No,What is your preferred ML algorithm?
Twitter,52,Data Science,Medium,Desktop,Afternoon,Yes,Which data visualization tool do you use?
YouTube,12,Data Science,High,Smartphone,Night,Yes,How do you deal with missing data?
Twitter,18,Machine Learning,Low,Smartphone,Morning,No,Can you share a recent ML project you worked on?
Facebook,34,Data Science,High,Tablet,Evening,No,What is your experience with Python in data analysis?
Twitter,30,Cybersecurity,High,Smartphone,Night,Yes,Have you implemented encryption in your projects?
TikTok,37,Cybersecurity,High,Tablet,Afternoon,Yes,What tools do you recommend for threat detection?
Twitter,11,Data Science,High,Smartphone,Night,No,Which data visualization tool do you use?
Facebook,16,Cybersecurity,Medium,Smartphone,Morning,Yes,Have you implemented encryption in your projects?
Facebook,18,Machine Learning,Medium,Tablet,Afternoon,Yes,How do you handle overfitting in ML?
Twitter,24,Machine Learning,High,Smartphone,Evening,Yes,What tools do you use for ML development?
Facebook,35,Machine Learning,High,Desktop,Evening,No,How do you handle overfitting in ML?
YouTube,15,Cybersecurity,Medium,Desktop,Morning,No,What tools do you recommend for threat detection?
Facebook,44,Data Science,High,Smartphone,Afternoon,Yes,How do you clean messy datasets?
LinkedIn,22,Cybersecurity,Medium,Smartphone,Morning,No,What is your favorite cybersecurity framework?
Instagram,12,Data Science,Low,Desktop,Night,Yes,What is your experience with Python in data analysis?
Instagram,27,Data Science,Low,Tablet,Afternoon,No,How do you deal with missing data?
LinkedIn,43,Machine Learning,Medium,Smartphone,Afternoon,Yes,What tools do you use for ML development?
Facebook,28,Machine Learning,High,Desktop,Afternoon,No,Have you explored reinforcement learning?
TikTok,27,Cybersecurity,Low,Desktop,Afternoon,Yes,How do you secure APIs in applications?
LinkedIn,52,Cybersecurity,Low,Tablet,Night,Yes,How do you secure APIs in applications?
Twitter,23,Cybersecurity,Low,Desktop,Morning,No,How do you prevent phishing attacks?
Twitter,38,Data Science,Low,Tablet,Morning,No,What is your experience with Python in data analysis?
Facebook,23,Machine Learning,Medium,Desktop,Evening,Yes,What is your preferred ML algorithm?
TikTok,30,Machine Learning,Low,Tablet,Evening,Yes,Have you explored reinforcement learning?
Facebook,56,Machine Learning,Low,Tablet,Afternoon,No,Can you share a recent ML project you worked on?
YouTube,56,Data Science,Low,Smartphone,Afternoon,No,How do you clean messy datasets?
Twitter,38,Data Science,Medium,Tablet,Morning,Yes,What is your experience with Python in data analysis?
Instagram,53,Data Science,Low,Desktop,Evening,No,What is your experience with Python in data analysis?
Twitter,40,Machine Learning,High,Desktop,Evening,Yes,How do you handle overfitting in ML?
Twitter,50,Machine Learning,High,Desktop,Evening,No,What is your preferred ML algorithm?
Facebook,24,Cybersecurity,High,Smartphone,Morning,No,What is your favorite cybersecurity framework?
TikTok,12,Data Science,High,Smartphone,Night,No,How do you deal with missing data?
Instagram,54,Data Science,High,Smartphone,Night,No,Which data visualization tool do you use?
YouTube,47,Machine Learning,Low,Desktop,Night,No,What is your preferred ML algorithm?
Instagram,22,Machine Learning,Low,Smartphone,Afternoon,No,Have you explored reinforcement learning?
TikTok,20,Cybersecurity,Low,Tablet,Afternoon,No,Have you implemented encryption in your projects?
Twitter,22,Machine Learning,Medium,Smartphone,Afternoon,Yes,What tools do you use for ML development?
Instagram,55,Data Science,Low,Desktop,Afternoon,Yes,How do you deal with missing data?
YouTube,37,Cybersecurity,High,Tablet,Morning,Yes,Have you implemented encryption in your projects?
Facebook,18,Data Science,Low,Smartphone,Morning,Yes,Which data visualization tool do you use?
Facebook,31,Cybersecurity,High,Smartphone,Night,Yes,How do you prevent phishing attacks?
Twitter,36,Machine Learning,Low,Tablet,Evening,Yes,How do you handle overfitting in ML?
Instagram,11,Cybersecurity,High,Smartphone,Evening,No,Have you implemented encryption in your projects?
TikTok,37,Data Science,High,Tablet,Afternoon,Yes,What is your experience with Python in data analysis?
YouTube,46,Cybersecurity,Medium,Tablet,Morning,Yes,How do you secure APIs in applications?
Twitter,16,Cybersecurity,Medium,Smartphone,Evening,Yes,What is your favorite cybersecurity framework?
LinkedIn,37,Machine Learning,Low,Tablet,Afternoon,No,What is your preferred ML algorithm?
Instagram,15,Cybersecurity,Medium,Tablet,Evening,No,What tools do you recommend for threat detection?
Facebook,42,Machine Learning,Medium,Smartphone,Afternoon,Yes,Can you share a recent ML project you worked on?
Facebook,27,Cybersecurity,High,Smartphone,Night,Yes,How do you secure APIs in applications?
YouTube,26,Machine Learning,High,Desktop,Morning,No,How do you handle overfitting in ML?
Twitter,15,Cybersecurity,Low,Desktop,Afternoon,Yes,Have you implemented encryption in your projects?
Instagram,37,Cybersecurity,Medium,Smartphone,Morning,Yes,How do you prevent phishing attacks?
YouTube,38,Data Science,Medium,Desktop,Night,No,How do you deal with missing data?
TikTok,10,Machine Learning,Low,Desktop,Afternoon,No,What is your preferred ML algorithm?
Facebook,23,Machine Learning,Low,Desktop,Morning,No,What tools do you use for ML development?
Twitter,41,Machine Learning,High,Desktop,Evening,Yes,How do you handle overfitting in ML?
YouTube,10,Cybersecurity,Low,Tablet,Morning,No,What is your favorite cybersecurity framework?
LinkedIn,31,Data Science,Low,Smartphone,Evening,No,How do you deal with missing data?
Twitter,23,Data Science,High,Desktop,Morning,Yes,What is your experience with Python in data analysis?
Twitter,23,Data Science,Medium,Tablet,Evening,Yes,What is your experience with Python in data analysis?
Twitter,46,Machine Learning,Medium,Desktop,Evening,Yes,What is your preferred ML algorithm?
LinkedIn,34,Machine Learning,Low,Desktop,Morning,Yes,Have you explored reinforcement learning?
Twitter,10,Data Science,High,Desktop,Night,Yes,How do you clean messy datasets?
Instagram,21,Cybersecurity,Medium,Desktop,Evening,No,Have you implemented encryption in your projects?
Facebook,17,Data Science,High,Smartphone,Evening,Yes,How do you deal with missing data?
Twitter,45,Data Science,Medium,Smartphone,Evening,No,How do you clean messy datasets?
TikTok,10,Machine Learning,High,Desktop,Night,No,Have you explored reinforcement learning?
Twitter,50,Cybersecurity,High,Smartphone,Night,No,What tools do you recommend for threat detection?
Instagram,60,Cybersecurity,High,Tablet,Afternoon,Yes,How do you secure APIs in applications?
Facebook,11,Machine Learning,High,Desktop,Afternoon,Yes,Have you explored reinforcement learning?
Facebook,59,Data Science,High,Desktop,Night,No,What statistical methods do you prefer in Data Science?
Instagram,59,Cybersecurity,Medium,Desktop,Night,No,How do you secure APIs in applications?
Instagram,17,Cybersecurity,Low,Tablet,Evening,No,What tools do you recommend for threat detection?
Twitter,35,Cybersecurity,High,Tablet,Evening,No,What tools do you recommend for threat detection?
Instagram,46,Machine Learning,Low,Desktop,Afternoon,Yes,Have you explored reinforcement learning?
Instagram,40,Machine Learning,High,Smartphone,Evening,Yes,What tools do you use for ML development?
Facebook,39,Cybersecurity,Medium,Desktop,Evening,Yes,What tools do you recommend for threat detection?
Instagram,52,Data Science,Medium,Smartphone,Afternoon,No,How do you clean messy datasets?
Instagram,37,Data Science,High,Desktop,Evening,Yes,Which data visualization tool do you use?
YouTube,18,Cybersecurity,Low,Desktop,Night,Yes,What is your favorite cybersecurity framework?
TikTok,24,Machine Learning,Low,Tablet,Night,Yes,Can you share a recent ML project you worked on?
Instagram,55,Cybersecurity,High,Smartphone,Afternoon,No,How do you prevent phishing attacks?
Twitter,23,Cybersecurity,Medium,Tablet,Evening,Yes,What tools do you recommend for threat detection?
TikTok,20,Machine Learning,Low,Tablet,Evening,Yes,What tools do you use for ML development?
Facebook,54,Machine Learning,Medium,Desktop,Night,No,How do you handle overfitting in ML?
TikTok,17,Data Science,Medium,Smartphone,Afternoon,No,How do you deal with missing data?
Instagram,43,Machine Learning,Low,Desktop,Morning,No,Can you share a recent ML project you worked on?
LinkedIn,19,Machine Learning,High,Tablet,Night,Yes,Can you share a recent ML project you worked on?
Instagram,43,Cybersecurity,Low,Tablet,Morning,No,What tools do you recommend for threat detection?
Facebook,52,Machine Learning,High,Tablet,Night,Yes,Can you share a recent ML project you worked on?
LinkedIn,16,Cybersecurity,High,Desktop,Evening,Yes,How do you secure APIs in applications?
Instagram,58,Machine Learning,Medium,Tablet,Evening,Yes,What is your preferred ML algorithm?
Twitter,57,Machine Learning,Medium,Desktop,Afternoon,Yes,How do you handle overfitting in ML?
LinkedIn,21,Machine Learning,High,Desktop,Evening,No,Have you explored reinforcement learning?
TikTok,15,Data Science,Medium,Smartphone,Morning,Yes,Which data visualization tool do you use?
YouTube,14,Machine Learning,Medium,Smartphone,Morning,No,Have you explored reinforcement learning?
Instagram,57,Cybersecurity,Medium,Tablet,Morning,No,How do you secure APIs in applications?
Instagram,15,Cybersecurity,Medium,Desktop,Afternoon,No,Have you implemented encryption in your projects?
TikTok,17,Cybersecurity,High,Tablet,Night,Yes,How do you secure APIs in applications?
Twitter,16,Cybersecurity,High,Smartphone,Afternoon,No,How do you prevent phishing attacks?
Instagram,53,Cybersecurity,Medium,Smartphone,Afternoon,No,Have you implemented encryption in your projects?
LinkedIn,59,Machine Learning,High,Desktop,Morning,Yes,What is your preferred ML algorithm?
TikTok,31,Data Science,Medium,Desktop,Afternoon,Yes,How do you clean messy datasets?
YouTube,56,Cybersecurity,Medium,Tablet,Afternoon,No,How do you prevent phishing attacks?
LinkedIn,48,Machine Learning,High,Tablet,Morning,No,What is your preferred ML algorithm?
TikTok,45,Data Science,Low,Desktop,Night,No,Which data visualization tool do you use?
Instagram,13,Data Science,Medium,Tablet,Morning,Yes,Which data visualization tool do you use?
LinkedIn,40,Data Science,High,Tablet,Night,No,What is your experience with Python in data analysis?
Facebook,50,Data Science,Medium,Desktop,Morning,No,How do you deal with missing data?
YouTube,38,Machine Learning,Medium,Tablet,Evening,No,Have you explored reinforcement learning?
YouTube,60,Data Science,Low,Smartphone,Night,No,What statistical methods do you prefer in Data Science?
LinkedIn,27,Cybersecurity,High,Desktop,Afternoon,No,How do you secure APIs in applications?
YouTube,52,Cybersecurity,Low,Desktop,Morning,No,What tools do you recommend for threat detection?
LinkedIn,59,Machine Learning,Low,Tablet,Morning,No,How do you handle overfitting in ML?
Twitter,47,Cybersecurity,Low,Smartphone,Morning,No,What is your favorite cybersecurity framework?
LinkedIn,45,Machine Learning,Low,Smartphone,Night,No,How do you handle overfitting in ML?
LinkedIn,24,Machine Learning,Low,Desktop,Night,No,How do you handle overfitting in ML?
Facebook,23,Machine Learning,Medium,Tablet,Night,Yes,Have you explored reinforcement learning?
LinkedIn,46,Cybersecurity,Medium,Tablet,Night,Yes,What is your favorite cybersecurity framework?
LinkedIn,54,Data Science,Low,Tablet,Evening,Yes,What is your experience with Python in data analysis?
YouTube,59,Cybersecurity,High,Smartphone,Evening,No,Have you implemented encryption in your projects?
Facebook,44,Cybersecurity,High,Desktop,Evening,Yes,How do you secure APIs in applications?
Instagram,44,Cybersecurity,Medium,Tablet,Evening,Yes,Have you implemented encryption in your projects?
TikTok,52,Data Science,Medium,Desktop,Evening,Yes,How do you clean messy datasets?
Twitter,59,Machine Learning,Medium,Smartphone,Night,No,What is your preferred ML algorithm?
LinkedIn,56,Cybersecurity,Medium,Tablet,Afternoon,Yes,How do you secure APIs in applications?
LinkedIn,42,Data Science,High,Tablet,Evening,Yes,How do you clean messy datasets?
Twitter,39,Data Science,Low,Desktop,Evening,No,What is your experience with Python in data analysis?
TikTok,59,Cybersecurity,High,Desktop,Evening,No,Have you implemented encryption in your projects?
Instagram,57,Data Science,High,Smartphone,Evening,No,Which data visualization tool do you use?
Twitter,18,Data Science,High,Desktop,Evening,Yes,What statistical methods do you prefer in Data Science?
YouTube,11,Machine Learning,Low,Tablet,Evening,No,Can you share a recent ML project you worked on?
Instagram,10,Cybersecurity,Medium,Desktop,Afternoon,No,What tools do you recommend for threat detection?
Facebook,55,Data Science,High,Tablet,Afternoon,No,How do you clean messy datasets?
Facebook,28,Cybersecurity,Medium,Smartphone,Night,No,How do you prevent phishing attacks?
Twitter,19,Cybersecurity,Low,Tablet,Evening,Yes,What is your favorite cybersecurity framework?
YouTube,53,Cybersecurity,Medium,Tablet,Morning,Yes,How do you prevent phishing attacks?
TikTok,40,Machine Learning,High,Desktop,Morning,No,What tools do you use for ML development?
LinkedIn,20,Cybersecurity,Low,Smartphone,Night,Yes,How do you secure APIs in applications?
TikTok,27,Machine Learning,Medium,Smartphone,Afternoon,Yes,How do you handle overfitting in ML?
Facebook,13,Machine Learning,Medium,Smartphone,Evening,No,Have you explored reinforcement learning?
Instagram,37,Data Science,Medium,Desktop,Morning,Yes,How do you clean messy datasets?
Instagram,31,Data Science,Medium,Smartphone,Morning,No,How do you clean messy datasets?
Facebook,55,Data Science,Medium,Tablet,Morning,Yes,How do you clean messy datasets?
LinkedIn,23,Cybersecurity,Medium,Tablet,Night,Yes,What tools do you recommend for threat detection?
Instagram,27,Machine Learning,Low,Desktop,Morning,Yes,Can you share a recent ML project you worked on?
LinkedIn,32,Data Science,Low,Tablet,Night,Yes,How do you clean messy datasets?
Facebook,52,Data Science,Low,Desktop,Afternoon,Yes,What is your experience with Python in data analysis?
Instagram,30,Data Science,Medium,Tablet,Night,No,What is your experience with Python in data analysis?
TikTok,52,Cybersecurity,High,Smartphone,Evening,No,What is your favorite cybersecurity framework?
Twitter,16,Cybersecurity,Low,Tablet,Night,Yes,What tools do you recommend for threat detection?
TikTok,28,Data Science,Medium,Desktop,Afternoon,Yes,How do you deal with missing data?
Instagram,40,Machine Learning,Medium,Tablet,Night,No,Can you share a recent ML project you worked on?
TikTok,28,Machine Learning,High,Desktop,Evening,No,What tools do you use for ML development?
Facebook,10,Cybersecurity,High,Desktop,Night,No,Have you implemented encryption in your projects?
Facebook,24,Machine Learning,Low,Tablet,Morning,Yes,What tools do you use for ML development?
YouTube,32,Cybersecurity,Medium,Tablet,Morning,Yes,How do you secure APIs in applications?
Facebook,34,Cybersecurity,Low,Smartphone,Night,Yes,What tools do you recommend for threat detection?
Facebook,31,Machine Learning,Low,Tablet,Afternoon,No,What tools do you use for ML development?
TikTok,22,Data Science,Medium,Tablet,Morning,No,How do you deal with missing data?
Instagram,12,Cybersecurity,High,Desktop,Afternoon,No,How do you secure APIs in applications?
TikTok,21,Cybersecurity,Medium,Smartphone,Evening,Yes,How do you secure APIs in applications?
Instagram,59,Data Science,Low,Desktop,Afternoon,Yes,Which data visualization tool do you use?
Facebook,25,Data Science,High,Desktop,Evening,No,How do you clean messy datasets?
LinkedIn,44,Data Science,High,Tablet,Night,Yes,What is your experience with Python in data analysis?
TikTok,53,Data Science,High,Desktop,Afternoon,No,How do you clean messy datasets?
TikTok,60,Data Science,Low,Smartphone,Night,Yes,How do you deal with missing data?
Twitter,50,Machine Learning,Medium,Desktop,Evening,No,Have you explored reinforcement learning?
Instagram,13,Machine Learning,Low,Smartphone,Afternoon,Yes,What is your preferred ML algorithm?
Instagram,23,Cybersecurity,High,Desktop,Evening,Yes,What is your favorite cybersecurity framework?
TikTok,54,Cybersecurity,High,Smartphone,Evening,Yes,What tools do you recommend for threat detection?
Instagram,60,Data Science,Medium,Tablet,Morning,No,How do you clean messy datasets?
Facebook,35,Cybersecurity,Low,Desktop,Morning,No,How do you secure APIs in applications?
YouTube,59,Cybersecurity,High,Tablet,Evening,No,How do you prevent phishing attacks?
TikTok,20,Cybersecurity,High,Smartphone,Afternoon,No,What tools do you recommend for threat detection?
Instagram,21,Machine Learning,High,Desktop,Afternoon,Yes,Can you share a recent ML project you worked on?
Instagram,29,Machine Learning,High,Desktop,Morning,No,What is your preferred ML algorithm?
TikTok,11,Data Science,Medium,Smartphone,Night,Yes,What statistical methods do you prefer in Data Science?
TikTok,16,Cybersecurity,Medium,Desktop,Afternoon,Yes,How do you secure APIs in applications?
Twitter,55,Cybersecurity,High,Smartphone,Afternoon,Yes,How do you prevent phishing attacks?
TikTok,42,Data Science,Medium,Tablet,Afternoon,No,How do you clean messy datasets?
LinkedIn,33,Data Science,High,Desktop,Morning,No,What statistical methods do you prefer in Data Science?
Twitter,48,Data Science,High,Tablet,Afternoon,Yes,Which data visualization tool do you use?
Twitter,59,Cybersecurity,High,Tablet,Afternoon,Yes,How do you secure APIs in applications?
Instagram,41,Data Science,High,Desktop,Evening,No,What statistical methods do you prefer in Data Science?
Instagram,29,Machine Learning,Medium,Tablet,Evening,No,What tools do you use for ML development?
Twitter,43,Machine Learning,Medium,Tablet,Morning,Yes,Can you share a recent ML project you worked on?
Twitter,39,Data Science,High,Tablet,Night,Yes,Which data visualization tool do you use?
TikTok,48,Data Science,High,Desktop,Afternoon,No,How do you clean messy datasets?
Facebook,20,Cybersecurity,High,Smartphone,Afternoon,Yes,How do you secure APIs in applications?
Instagram,18,Cybersecurity,Medium,Smartphone,Afternoon,Yes,How do you secure APIs in applications?
Facebook,29,Data Science,High,Desktop,Afternoon,Yes,How do you deal with missing data?
Facebook,36,Cybersecurity,High,Smartphone,Evening,Yes,How do you prevent phishing attacks?
LinkedIn,53,Cybersecurity,Low,Smartphone,Night,Yes,How do you secure APIs in applications?
Facebook,30,Machine Learning,Low,Desktop,Night,Yes,What tools do you use for ML development?
Instagram,13,Data Science,High,Desktop,Evening,Yes,What statistical methods do you prefer in Data Science?
Facebook,17,Data Science,High,Desktop,Night,Yes,How do you clean messy datasets?
LinkedIn,23,Data Science,High,Tablet,Night,Yes,How do you deal with missing data?
YouTube,34,Data Science,High,Tablet,Evening,No,How do you deal with missing data?
YouTube,22,Cybersecurity,High,Desktop,Afternoon,No,How do you prevent phishing attacks?
TikTok,41,Cybersecurity,High,Desktop,Night,Yes,What tools do you recommend for threat detection?
YouTube,57,Data Science,High,Desktop,Morning,Yes,How do you clean messy datasets?
YouTube,33,Data Science,High,Tablet,Morning,No,What is your experience with Python in data analysis?
YouTube,39,Cybersecurity,Medium,Desktop,Night,No,What is your favorite cybersecurity framework?
LinkedIn,19,Data Science,Low,Tablet,Morning,Yes,How do you deal with missing data?
TikTok,16,Cybersecurity,Low,Desktop,Evening,Yes,Have you implemented encryption in your projects?
Facebook,20,Data Science,Medium,Tablet,Morning,Yes,Which data visualization tool do you use?
Facebook,18,Machine Learning,High,Smartphone,Morning,Yes,What tools do you use for ML development?
TikTok,31,Data Science,High,Smartphone,Evening,No,Which data visualization tool do you use?
Instagram,41,Machine Learning,Low,Smartphone,Afternoon,Yes,Can you share a recent ML project you worked on?
Twitter,11,Data Science,High,Desktop,Morning,No,What statistical methods do you prefer in Data Science?
LinkedIn,45,Machine Learning,Low,Tablet,Night,Yes,Can you share a recent ML project you worked on?
LinkedIn,28,Cybersecurity,High,Smartphone,Morning,Yes,How do you secure APIs in applications?
Twitter,40,Machine Learning,High,Tablet,Night,No,Can you share a recent ML project you worked on?
TikTok,44,Data Science,High,Tablet,Morning,Yes,What is your experience with Python in data analysis?
TikTok,42,Cybersecurity,High,Desktop,Afternoon,No,How do you prevent phishing attacks?
YouTube,38,Data Science,Medium,Desktop,Night,No,Which data visualization tool do you use?
TikTok,35,Machine Learning,Low,Desktop,Afternoon,No,How do you handle overfitting in ML?
Facebook,47,Machine Learning,Low,Tablet,Night,No,Have you explored reinforcement learning?
YouTube,33,Machine Learning,Low,Desktop,Night,Yes,How do you handle overfitting in ML?
TikTok,12,Machine Learning,Low,Desktop,Night,No,Have you explored reinforcement learning?
Twitter,22,Machine Learning,High,Smartphone,Afternoon,No,How do you handle overfitting in ML?
Twitter,26,Machine Learning,Medium,Tablet,Morning,Yes,What is your preferred ML algorithm?
Facebook,50,Data Science,Medium,Smartphone,Morning,Yes,How do you deal with missing data?
TikTok,55,Cybersecurity,Medium,Smartphone,Evening,Yes,What tools do you recommend for threat detection?
YouTube,44,Cybersecurity,High,Desktop,Morning,No,How do you prevent phishing attacks?
YouTube,44,Data Science,Medium,Smartphone,Afternoon,No,How do you clean messy datasets?
Instagram,39,Cybersecurity,Medium,Desktop,Morning,Yes,How do you prevent phishing attacks?
Twitter,38,Cybersecurity,Medium,Tablet,Night,No,How do you secure APIs in applications?
Facebook,37,Data Science,Low,Tablet,Night,Yes,Which data visualization tool do you use?
Facebook,44,Cybersecurity,High,Desktop,Morning,No,How do you secure APIs in applications?
Twitter,49,Machine Learning,Low,Smartphone,Evening,No,How do you handle overfitting in ML?
TikTok,21,Data Science,High,Smartphone,Evening,Yes,How do you deal with missing data?
LinkedIn,32,Machine Learning,High,Desktop,Morning,Yes,How do you handle overfitting in ML?
TikTok,28,Cybersecurity,Medium,Desktop,Evening,No,How do you prevent phishing attacks?
Twitter,14,Cybersecurity,Medium,Tablet,Afternoon,Yes,What is your favorite cybersecurity framework?
TikTok,24,Machine Learning,High,Smartphone,Morning,Yes,Can you share a recent ML project you worked on?
Facebook,51,Cybersecurity,High,Desktop,Morning,No,What is your favorite cybersecurity framework?
LinkedIn,13,Data Science,Low,Smartphone,Evening,No,What statistical methods do you prefer in Data Science?
Instagram,38,Data Science,Medium,Tablet,Evening,Yes,What is your experience with Python in data analysis?
LinkedIn,58,Machine Learning,High,Tablet,Night,No,Have you explored reinforcement learning?
TikTok,58,Data Science,High,Smartphone,Afternoon,Yes,Which data visualization tool do you use?
Twitter,14,Data Science,High,Desktop,Afternoon,No,How do you clean messy datasets?
YouTube,31,Machine Learning,High,Desktop,Morning,Yes,What is your preferred ML algorithm?
Instagram,20,Data Science,High,Smartphone,Afternoon,No,How do you clean messy datasets?
LinkedIn,33,Machine Learning,Medium,Tablet,Night,Yes,What is your preferred ML algorithm?
Instagram,45,Cybersecurity,Low,Tablet,Afternoon,No,How do you secure APIs in applications?
LinkedIn,29,Cybersecurity,Medium,Tablet,Night,Yes,What tools do you recommend for threat detection?
TikTok,55,Data Science,Low,Desktop,Evening,No,How do you deal with missing data?
Twitter,20,Machine Learning,Low,Desktop,Afternoon,Yes,Can you share a recent ML project you worked on?
TikTok,13,Machine Learning,Low,Desktop,Night,No,What is your preferred ML algorithm?
TikTok,32,Data Science,High,Tablet,Morning,No,Which data visualization tool do you use?
Instagram,28,Machine Learning,Medium,Smartphone,Night,No,What tools do you use for ML development?
TikTok,35,Cybersecurity,Medium,Desktop,Night,No,How do you prevent phishing attacks?
Twitter,47,Machine Learning,Low,Tablet,Evening,Yes,What tools do you use for ML development?
LinkedIn,47,Data Science,Medium,Tablet,Evening,No,How do you clean messy datasets?
TikTok,17,Data Science,Medium,Desktop,Evening,No,How do you deal with missing data?
LinkedIn,38,Cybersecurity,Low,Smartphone,Night,No,How do you secure APIs in applications?
Facebook,45,Data Science,High,Smartphone,Afternoon,No,What is your experience with Python in data analysis?
TikTok,28,Machine Learning,Medium,Smartphone,Evening,Yes,What is your preferred ML algorithm?
LinkedIn,38,Machine Learning,Low,Desktop,Afternoon,No,How do you handle overfitting in ML?
TikTok,26,Machine Learning,Low,Desktop,Night,No,What tools do you use for ML development?
Facebook,51,Data Science,Medium,Tablet,Night,No,What is your experience with Python in data analysis?
Facebook,10,Machine Learning,Low,Desktop,Afternoon,No,What tools do you use for ML development?
Twitter,50,Data Science,High,Desktop,Night,Yes,What statistical methods do you prefer in Data Science?
Facebook,51,Cybersecurity,Low,Smartphone,Afternoon,Yes,What tools do you recommend for threat detection?
Facebook,45,Data Science,High,Desktop,Night,No,How do you clean messy datasets?
Facebook,38,Machine Learning,High,Desktop,Morning,No,How do you handle overfitting in ML?
LinkedIn,24,Machine Learning,High,Tablet,Afternoon,Yes,What tools do you use for ML development?
Facebook,29,Machine Learning,Medium,Desktop,Night,No,Can you share a recent ML project you worked on?
Facebook,58,Data Science,Low,Smartphone,Night,Yes,What statistical methods do you prefer in Data Science?
YouTube,39,Machine Learning,High,Smartphone,Evening,No,What tools do you use for ML development?
YouTube,43,Cybersecurity,Low,Smartphone,Afternoon,Yes,What is your favorite cybersecurity framework?
YouTube,43,Machine Learning,High,Tablet,Morning,No,What tools do you use for ML development?
TikTok,49,Cybersecurity,Medium,Desktop,Morning,No,What is your favorite cybersecurity framework?
